tweetid;user;content;date;lang;sentiment/polarity/value
7.68E+17;anahorxn;"@myendlesshazza a. que puto mal escribo

b. me sigo surrando help 

3. ha quedado raro el ""cómetelo"" ahí JAJAJAJA";23-08-2016 22:29;es;0
7.68E+17;martitarey13;@estherct209 jajajaja la tuya y la d mucha gente seguro!! Pero yo no puedo sin mi melena me muero;23-08-2016 22:25;es;0
7.68E+17;endlessmilerr;Quiero mogollón a @AlbaBenito99 pero sobretodo por lo rápido que contesta a los wasaps;23-08-2016 23:01;es;1
7.68E+17;JunoWTFL;Vale he visto la tia bebiendose su regla y me hs dado muchs grima;23-08-2016 22:58;es;0
7.68E+17;Alis_8496;@Yulian_Poe @guillermoterry1 Ah. mucho más por supuesto! solo que lo incluyo. Me habías entendido mal;23-08-2016 22:55;es;1
7.68E+17;caval100;"Se ha terminado #Rio2016 Lamentablemente no arriendo las ganancias al pueblo brasileño por la penuria que les espera 
Suerte y solidaridad";23-08-2016 23:13;es;0
7.68E+17;mgcsunshine;11. siiii fue super gracioso teniamos que habernos sacado una foto;23-08-2016 23:41;es;1
7.68E+17;__LOST_PRINCESS;@toNi_end seria mejor que dejasen de emitir esa basura ya  hay que evolucionar para bien y eso;23-08-2016 23:39;es;0
7.68E+17;ConLDeLucifer_;@jonoro96 te mandaria a comprarte un burro, pero no creo que hayan tiendas abiertas ahora;23-08-2016 23:39;es;0
7.68E+17;AranchaGarcia97;Mg y pongo un adjetivo super repelente a vuestro nombre;23-08-2016 23:38;es;0
7.68E+17;desimaestre_;@hywzz la voz de María al final me mata JAJAJSJAJAJAJ quilla y yo que;23-08-2016 23:12;es;0
7.68E+17;BISQUERT1982;@EduGalan14  Jaja.Es de bien nacidos ser agradecidos que diría aquel.Tiene el récord de puntos del VCF.Creo q cumplió con lo que había.;23-08-2016 23:09;es;1
7.68E+17;nefariuss;@misscatingcat Bueno, al menos has acabado la noche con una hermosa vista  Ami tambien me gusta verlos por la noche ^^;23-08-2016 23:07;es;1
7.68E+17;ITSMENDESWORLD;@mendescodes @heroinseb enserio cuando habéis dicho que los froot loops están malos me ha dolido...;23-08-2016 23:07;es;0
7.68E+17;Ujsharp;"@Sakura_Abril Ow 
Bueno, no pasa nada, cuando puedas confirmarlo, estoy aquí ??
Y si no pudieras de cosplay pero sí a la expo, +";23-08-2016 23:31;es;1
7.68E+17;HanChuiPriest;Aunque pensaba que no podría hacerlo hasta el mes de octubre, el lunes próximo volveré a ver a mi familia de #Mataró *.*   #felicidad;23-08-2016 23:30;es;1
7.68E+17;pacosan1269;Oye @luciaskaa te pones a hablar con @josecs02 como en los viejos tiempos y no avisas  @JuanAlfonso251 @CrisDazGar;23-08-2016 23:29;es;0
7.68E+17;aleedesrosiers;@JCLilGangster yo tengo que aguantar 4 niños pequeños, no sé que es peor;23-08-2016 23:28;es;0
7.68E+17;isachue96;@Yosmath @Planeta87Radio  #Incantus  Genial ya estoy conectada;23-08-2016 23:44;es;1
7.68E+17;todoalposte;"@pabloserrano @JesusBengoechea Madrid tiene la cultura propia de los que ""no tiene cultura propia"". Vamos, como los romanos en su tiempo";23-08-2016 9:25;es;0
7.68E+17;ElyShuri;Gracias por los ánimos! He dormido un poco más, me he tomado una pastilla y ha bajado a 36 y medio, pero aún me noto rara;23-08-2016 9:24;es;0
7.68E+17;xZ4dry;@xZ4dry @xSLGY Tienes pinta buena gente por lo q veo, t he conocio gracias a qt;23-08-2016 12:02;es;1
7.68E+17;MarthaFae;@achocoblog ... bueno, desierta, desierta, no, con algunos seres feéricos;23-08-2016 12:02;es;1
7.68E+17;jaware;@policia 2 horas esperando en Comisaría Gandia y han atendido a 3 personas! Y solamente para una autorización de viaje a un menor.;23-08-2016 12:01;es;0
7.68E+17;sanroman1952;@angeleta1973 @elespanolcom No he visto su DNI o Pasaporte pero presume de serlo aunque es muy,demasiado,peculiar y poco caritativa;23-08-2016 12:01;es;0
7.68E+17;M_Megrez;@AlbGarD Oh  ¿Me estás llamando gordo? JAJAJA Grazie ruliño  Lo mismo puedo decir;23-08-2016 12:40;es;0
7.68E+17;Fran87bcn;@BarrosNerea Tú siempre sexy Nerea!! Qué tengas un maravilloso día! Besitos!;23-08-2016 12:37;es;1
7.68E+17;Fran87bcn;@seestrena #seestrenasietevidas Sería un gato tipo Garfield porqué soy un poco vago y porqué me encanta la lasaña!!;23-08-2016 12:36;es;1
7.68E+17;AlejandroHenar1;@prxttytimebomb @emimartinez_98 Si es que odio a muerte a la nueva Harley que quieres;23-08-2016 12:33;es;0
7.68E+17;_mermaiid_;@WINTERSCLIFF0RD ni tu como soportas el calor sevillano hija mía;23-08-2016 12:33;es;0
7.68E+17;ProyectoWaikiki;.@soyalt_es estaremos atentas a las novedades futuras. ¡El final del verano no será igual sin vosotros!;23-08-2016 12:16;es;0
7.68E+17;Dronjadicto;Ayer me quedé dormido xdddd lo peor esque sigo reventado;23-08-2016 12:15;es;0
7.68E+17;meaficio;Confirmao tengo el pie roto, he notado como el puto hueso se movía;23-08-2016 12:08;es;0
7.68E+17;starko;@lmg muchísimas gracias Luis  Tú también eres un ejemplo de constancia y buen trabajo, espero que os vaya todo genial!;23-08-2016 12:07;es;1
7.68E+17;ainaaara21;Tengo una adicción muy seria al burguer King necesito ayuda profesional;23-08-2016 12:06;es;0
7.68E+17;yeyodebote;Me dice un pajarito que ahora mismo no puede reservar en la web de BiBo, lo nuevo de @danigarcia_ca. Espero que sea por la demanda.;23-08-2016 12:06;es;0
7.68E+17;Fran87bcn;@cobos_rebeca A ti por responder! Espero y deseo que te salgan nuevos proyectos!! Besitos!!;23-08-2016 13:15;es;1
7.68E+17;ELFINGERSYT;Estoy preparando muchas cosas para que el especial sea muy especial;23-08-2016 13:36;es;1
7.68E+17;dgonzalod;@fonzeff @malenko_ @girotix Eso me temo, mucho calor y mucha gente por todos lados, lo malo de viajar en agosto;23-08-2016 13:10;es;0
7.68E+17;sanroman1952;"@Jordicanal64 Pues si no fichan ""lo que sea"" además de un ridículo espantoso igual QSF nos deja plantados...esperemos que no";23-08-2016 13:06;es;0
7.68E+17;JoyaRealitera;@edu_rnieves Te la recomiendo, parece monótona pero hay capítulos que vuelven a subir el interés;23-08-2016 13:53;es;1
7.68E+17;Sienkowl;Ya no tengo capítulos de Juego de Tronos para ver. Me siento vacía.;23-08-2016 13:48;es;0
7.68E+17;Glamurosa79;@goetha Jajaja se aprovechó lo ke pudo, ya se fue a currar pero mañana descansa  mucho lío entonces no? Y con el malagueño que tal?;23-08-2016 13:48;es;1
7.68E+17;manalarba;@futbolero93 solo recuerda que Iman es tranquila;24-08-2016 17:17;es;1
7.69E+17;orem9;@morbosaborealis jajajaja... eso es verdad... aquí no hay uno cuerdo;24-08-2016 18:16;es;0
7.69E+17;TurDepuLugo;@xqwcrp @xoancarV Un lapsus advertido gracias a @Cascarelo y subsanado. Gracias por tu aportación.;24-08-2016 18:12;es;1
7.69E+17;RafaelCubillo;@ManuBarba Lo feo es llegar al reina sofía y que los descuentos de estudiante sean para menores de 27 años;24-08-2016 19:29;es;0
7.69E+17;JacoCorrea;@Pirata__Roberts hay gente muy buena trabajando duro en @SpheraSports. Palabras así impulsan  @Eliperezup;24-08-2016 19:28;es;1
7.69E+17;TSMVayne;"Ah vale, me suelta la puta subnormal, te estoy llamando. 
Le digo que no me sale y dice ""ah, es que tengo el wifi apagado""";24-08-2016 19:27;es;0
7.69E+17;Gh14Yessi;@FaranduleroYo Pues espero que no lo digas por mi niña o no voto mas  memeo, bueno cada uno tendra su opinion +;24-08-2016 19:24;es;0
